EMPLOYEE_ID,FULL_NAME,DATE_OF_BIRTH,GENDER,SALARY,START_DATE,TERMINATION_DATE,DEPARTMENT_ID
E000054,Tran Hoai Minh,1984-09-07,Nam,11000000,2016-02-19,,D005
E000055,Dang Hai Van,1977-12-06,Nam,11000000,2016-06-14,2019-03-04,D005
E000056,Pham Thuy Linh,1975-10-25,Nam,11000000,2017-10-08,2021-09-13,D005
E000057,Le Hai Van,1989-08-24,Nu,11000000,2018-06-10,2021-08-14,D005
E000058,Le Dinh Thi,1980-05-03,Nam,11000000,2021-08-13,,D005
E000059,Tran Thu Van,1989-11-04,Nu,11000000,2018-05-25,2022-06-23,D005
E000060,Dang Hai Minh,1977-07-25,Nam,11000000,2016-06-06,,D005
E000061,Pham Khoa Quang,1981-01-21,Nu,11000000,2017-01-08,,D005
E000062,Tran Thu Thi,1979-11-21,Nam,11000000,2017-01-26,2019-07-18,D005
E000063,Bui Thuy Quang,2000-07-23,Nu,11000000,2019-03-16,2023-06-17,D005
E000064,Tran Dinh Van,1975-10-14,Nam,11000000,2022-11-27,2022-11-28,D005
E000065,Nguyen Ngoc Duc,1988-05-07,Nu,11000000,2015-11-25,,D005
E000066,Vu Thuy Thanh,1993-05-21,Nu,11000000,2019-10-03,2023-03-04,D005
E000067,Hoang Huu Thanh,1982-05-11,Nam,7000000,2016-01-19,,D006
E000068,Nguyen Ngoc Van,1985-06-17,Nam,7000000,2020-06-25,2021-03-07,D006
E000069,Le Khoa Anh,1981-10-08,Nu,7000000,2018-06-13,,D006
E000070,Le Hai Minh,1986-07-23,Nam,7000000,2020-02-18,,D006
E000071,Bui Hai Quang,1986-07-22,Nu,7000000,2017-03-20,,D006
E000072,Dang Hoai Thi,1987-12-27,Nu,7000000,2021-08-24,2023-01-21,D006
E000073,Hoang Khoa Thi,1995-03-05,Nam,7000000,2018-07-27,,D006
E000074,Dang Dinh Linh,2000-08-28,Nam,7000000,2015-08-09,,D006
E000075,Nguyen Dinh Quang,1990-11-20,Nu,7000000,2021-07-01,,D006
E000076,Bui Hoai Van,1984-10-02,Nu,7000000,2020-10-11,2021-09-16,D006
E000077,Nguyen Ngoc Duc,1988-07-28,Nam,7000000,2020-01-17,,D006
E000078,Dang Dinh Thi,1974-05-02,Nam,7000000,2016-12-17,,D006
E000079,Dang Dinh Linh,1999-05-11,Nu,7000000,2018-08-08,,D006
E000080,Vu Thuy Quang,1977-10-07,Nam,7000000,2021-11-01,,D006
E000081,Le Hai Quang,1977-05-22,Nam,7000000,2016-09-16,2019-01-17,D006
E000082,Bui Huu Anh,1997-02-10,Nu,7000000,2017-11-11,,D006
E000083,Pham Ngoc Anh,1992-12-25,Nam,9000000,2022-03-28,2023-10-11,D007
E000084,Hoang Khoa Anh,1972-09-16,Nam,9000000,2022-10-11,,D007
E000085,Vu Thuy Thi,1986-05-07,Nam,9000000,2021-04-16,,D007
E000086,Hoang Ngoc Van,1972-03-09,Nam,9000000,2020-02-28,,D007
E000087,Vu Ngoc Van,1998-05-16,Nam,9000000,2021-03-11,,D007
E000088,Pham Huu Anh,1998-02-20,Nam,9000000,2021-04-03,2021-09-10,D007
E000089,Pham Huu Linh,1998-08-07,Nam,9000000,2021-11-22,2021-11-23,D007
E000090,Dang Khoa Thanh,1984-08-06,Nam,9000000,2019-12-15,2020-01-02,D007
E000091,Pham Huu Duc,1998-03-26,Nam,9000000,2019-08-27,,D007
E000092,Nguyen Hoai Linh,1984-08-10,Nam,9000000,2021-08-27,,D007
E000093,Dang Thuy Thanh,1991-04-09,Nam,9000000,2019-10-07,,D007
E000094,Le Hai Van,1989-10-25,Nu,9000000,2020-06-04,2023-04-12,D007
E000095,Hoang Hai Quang,1996-11-04,Nu,9000000,2021-08-16,2021-08-17,D007
E000096,Nguyen Huu Linh,1998-05-15,Nu,9000000,2022-03-17,2023-01-01,D007
E000097,Le Hai Quang,1999-02-06,Nu,9000000,2019-12-17,,D007
E000098,Hoang Hai Anh,1997-07-15,Nam,9000000,2015-10-24,2023-12-23,D007
E000099,Tran Thu Van,1999-01-12,Nu,9000000,2021-10-22,,D007
E000100,Vu Hoai Van,1984-05-27,Nam,9000000,2022-11-14,2022-11-15,D007
E000101,Hoang Hai Thanh,1971-11-22,Nu,9000000,2019-08-28,2022-02-08,D007
E000102,Hoang Hai Anh,1977-01-27,Nu,9000000,2015-01-08,2018-09-01,D007
E000103,Bui Ngoc Thanh,1976-01-16,Nam,10000000,2020-10-14,,D008
E000104,Bui Hai Van,1996-02-08,Nu,10000000,2022-09-07,2022-09-08,D008
E000105,Tran Thu Thi,1976-12-23,Nu,10000000,2017-07-11,,D008
E000106,Nguyen Huu Thi,1995-08-01,Nam,10000000,2021-03-22,2023-04-24,D008
E000107,Le Thu Van,1985-06-23,Nu,10000000,2016-01-06,,D008
E000108,Vu Thu Thi,1991-06-09,Nu,10000000,2018-07-08,,D008
E000109,Pham Hai Thi,1988-08-07,Nam,10000000,2019-01-01,,D008
E000110,Hoang Khoa Thi,1985-02-11,Nu,10000000,2019-11-19,,D008
E000111,Le Huu Anh,1989-12-14,Nam,10000000,2022-10-01,,D008
E000112,Hoang Dinh Thanh,1993-04-19,Nam,10000000,2016-10-26,2018-09-27,D008
E000113,Hoang Khoa Van,1989-07-09,Nam,10000000,2019-07-10,,D008
E000114,Hoang Hai Minh,1997-01-22,Nu,10000000,2020-01-06,2020-01-07,D008
E000115,Le Ngoc Linh,1970-04-14,Nu,10000000,2016-05-14,,D008
E000116,Bui Hoai Quang,1980-09-27,Nu,10000000,2022-10-14,2023-09-25,D008
E000117,Tran Hoai Thanh,1974-03-19,Nu,10000000,2017-05-24,2020-06-23,D008
E000118,Hoang Khoa Van,2000-12-07,Nam,10000000,2015-02-24,,D008
E000119,Dang Dinh Minh,1992-03-25,Nam,10000000,2016-11-19,2023-05-25,D008
E000120,Bui Dinh Linh,1972-08-21,Nu,10000000,2019-07-12,2020-07-01,D008
E000121,Dang Hoai Van,1995-04-10,Nam,15000000,2021-01-04,2023-10-20,D009
E000122,Le Huu Thi,1991-11-15,Nam,20000000,2021-03-13,2021-03-14,D010
E000123,Bui Ngoc Thanh,1986-03-02,Nam,20000000,2022-11-10,,D010
E000124,Tran Thuy Thanh,1978-07-16,Nam,20000000,2017-09-09,,D010
E000125,Vu Dinh Quang,1987-06-01,Nu,20000000,2020-09-16,,D010
E000126,Hoang Ngoc Van,1984-01-18,Nam,20000000,2021-11-12,2022-10-07,D010
E000127,Vu Khoa Duc,1976-07-06,Nu,20000000,2022-03-03,2022-12-17,D010
E000128,Dang Khoa Duc,1982-02-16,Nam,20000000,2018-07-07,,D010
E000129,Bui Dinh Quang,1987-02-28,Nu,20000000,2018-03-03,2020-07-14,D010
E000130,Pham Thuy Duc,1983-09-28,Nam,20000000,2017-05-28,,D010
E000131,Pham Khoa Anh,1983-11-02,Nu,20000000,2015-04-13,,D010
E000132,Vu Thuy Anh,1982-09-22,Nam,20000000,2022-05-09,2022-05-10,D010
E000133,Pham Dinh Duc,1992-01-23,Nam,20000000,2022-01-23,,D010
E000134,Bui Hai Quang,1992-08-03,Nu,20000000,2017-02-19,,D010
E000135,Tran Huu Duc,1974-04-21,Nam,20000000,2022-09-09,2022-09-10,D010
E000136,Vu Thu Thanh,1974-05-08,Nam,20000000,2020-10-27,2023-09-18,D010
E000137,Hoang Hoai Minh,1987-02-05,Nu,20000000,2018-11-18,,D010
E000138,Nguyen Huu Linh,1980-10-18,Nam,8000000,2016-02-23,,D011
E000139,Vu Hai Thanh,1990-11-16,Nu,8000000,2019-07-06,,D011
E000140,Le Thuy Thi,1989-08-12,Nam,8000000,2018-06-07,,D011
E000141,Le Dinh Linh,1994-09-26,Nu,8000000,2020-01-14,2021-01-03,D011
E000142,Dang Thu Duc,1977-10-19,Nu,8000000,2022-04-25,,D011
E000143,Pham Dinh Linh,1993-12-11,Nam,8000000,2021-08-27,,D011
E000144,Bui Hoai Quang,1978-11-13,Nam,8000000,2019-10-13,2021-11-23,D011
E000145,Tran Thuy Anh,1993-05-04,Nu,8000000,2017-02-11,2018-06-02,D011
E000146,Nguyen Thuy Quang,1993-06-25,Nam,8000000,2016-04-14,,D011
E000147,Pham Khoa Thi,1978-01-08,Nam,8000000,2020-12-23,2020-12-24,D011
E000148,Tran Khoa Thi,1990-03-08,Nam,8000000,2022-05-23,,D011
E000149,Dang Hai Thi,1991-06-22,Nam,8000000,2020-02-15,,D011
E000150,Dang Hai Quang,1973-04-16,Nu,8000000,2020-04-23,,D011
E000151,Hoang Khoa Quang,1973-11-23,Nu,8000000,2020-06-12,2021-10-08,D011
E000152,Le Hoai Duc,1994-12-04,Nam,8000000,2021-01-13,2021-08-05,D011
E000153,Le Khoa Thanh,1993-06-15,Nu,8000000,2022-02-28,,D011
E000154,Nguyen Khoa Thi,1974-03-15,Nam,8000000,2022-02-23,2023-04-16,D011
E000155,Hoang Hoai Thi,1985-10-03,Nam,17000000,2017-11-11,,D012
E000156,Le Ngoc Duc,1993-11-05,Nu,17000000,2015-05-20,2022-12-28,D012
E000157,Dang Hoai Anh,1994-02-14,Nam,17000000,2020-05-12,,D012
E000158,Le Dinh Thi,1991-03-15,Nam,17000000,2022-05-07,,D012
E000159,Le Khoa Linh,1998-07-10,Nam,17000000,2016-05-16,,D012
E000160,Nguyen Hai Thi,1996-10-04,Nu,17000000,2022-04-23,2023-02-20,D012
E000161,Hoang Hoai Duc,1987-03-21,Nu,17000000,2018-06-04,2023-10-25,D012
E000162,Le Thuy Duc,1992-09-10,Nam,17000000,2022-07-21,,D012
E000163,Bui Thu Quang,1979-02-09,Nu,17000000,2018-11-19,2020-05-25,D012
E000164,Le Khoa Anh,1995-12-08,Nu,17000000,2020-10-17,,D012
E000165,Le Dinh Thanh,1976-08-27,Nu,17000000,2019-03-01,,D012
E000166,Dang Hai Linh,1988-04-12,Nam,17000000,2020-01-13,2020-06-01,D012
E000167,Bui Khoa Thanh,1978-10-03,Nu,17000000,2019-10-04,,D012
E000168,Bui Khoa Anh,1974-12-27,Nu,17000000,2015-02-10,2015-09-16,D012
E000169,Le Thuy Linh,1997-06-19,Nam,17000000,2021-02-17,,D012
E000170,Le Khoa Duc,1977-01-15,Nu,17000000,2017-06-18,,D012
E000171,Pham Ngoc Thanh,1971-04-24,Nu,17000000,2019-01-07,,D012
E000172,Le Khoa Anh,1981-01-11,Nam,17000000,2017-11-01,2022-08-17,D012
E000173,Hoang Hoai Minh,1974-03-21,Nam,17000000,2016-01-27,2022-09-01,D012
E000174,Pham Hai Quang,1983-06-01,Nam,17000000,2019-05-22,2020-04-22,D012
E000175,Tran Dinh Duc,1996-11-09,Nu,11000000,2022-04-25,2022-05-07,D013
E000176,Hoang Hoai Minh,2000-10-14,Nam,11000000,2017-07-03,,D013
E000177,Nguyen Dinh Anh,1991-10-04,Nam,11000000,2019-09-27,2020-04-08,D013
E000178,Pham Thu Linh,1973-07-22,Nu,11000000,2017-07-09,2022-10-05,D013
E000179,Pham Thuy Duc,1973-11-28,Nam,11000000,2020-06-21,2023-02-11,D013
E000180,Pham Huu Minh,1975-07-10,Nam,11000000,2015-11-12,,D013
E000181,Vu Hoai Thi,1990-11-24,Nu,11000000,2015-05-19,,D013
E000182,Nguyen Thuy Van,1993-11-05,Nam,11000000,2020-07-02,2020-10-11,D013
E000183,Nguyen Thuy Anh,1987-05-19,Nu,11000000,2016-12-16,,D013
E000184,Pham Ngoc Van,1971-04-11,Nam,11000000,2019-09-26,,D013
E000185,Hoang Dinh Duc,1998-05-13,Nam,11000000,2015-08-16,2020-08-15,D013
E000186,Hoang Thu Thi,1977-08-15,Nu,11000000,2018-01-01,,D013
E000187,Bui Dinh Thi,1995-05-23,Nam,11000000,2016-03-20,2021-06-18,D013
E000188,Nguyen Huu Duc,1977-03-11,Nu,11000000,2021-12-19,2022-02-01,D013
E000189,Nguyen Huu Minh,1998-02-22,Nam,11000000,2016-05-22,2022-08-13,D013
E000190,Bui Hoai Thi,1997-11-03,Nu,11000000,2016-03-15,,D013
E000191,Hoang Hai Anh,1986-05-28,Nu,11000000,2021-07-27,2023-10-15,D013
E000192,Tran Khoa Duc,1970-01-07,Nu,11000000,2020-09-08,2022-02-11,D013
E000193,Vu Khoa Quang,1986-08-22,Nu,11000000,2015-07-04,,D013
E000194,Bui Hoai Van,1998-10-16,Nam,7000000,2018-10-07,,D014
E000195,Dang Thuy Van,1982-03-24,Nam,7000000,2020-03-04,,D014
E000196,Le Khoa Duc,1978-10-16,Nam,7000000,2018-11-17,2023-04-17,D014
E000197,Pham Huu Van,1976-04-10,Nu,7000000,2019-12-05,,D014
E000198,Pham Hoai Thanh,1991-10-04,Nam,7000000,2019-12-27,,D014
E000199,Vu Hai Thanh,1976-05-24,Nam,7000000,2016-09-23,2016-09-24,D014
E000200,Tran Dinh Linh,1995-04-04,Nu,7000000,2015-03-14,2022-01-05,D014
E000201,Dang Ngoc Minh,1975-01-21,Nam,7000000,2016-07-27,,D014
E000202,Nguyen Dinh Thi,1988-02-20,Nam,7000000,2017-04-16,,D014
E000203,Le Huu Thi,1991-01-22,Nu,7000000,2022-05-26,,D014
E000204,Dang Huu Linh,1997-09-13,Nu,7000000,2015-09-09,,D014
E000205,Pham Thuy Minh,1997-04-24,Nu,7000000,2019-10-13,,D014
E000206,Pham Huu Thi,1995-10-13,Nu,7000000,2019-03-15,,D014
E000207,Vu Dinh Minh,1979-08-20,Nam,7000000,2017-07-12,2021-04-26,D014
E000208,Bui Thuy Thanh,1979-02-23,Nu,9000000,2021-05-01,,D015
E000209,Dang Hoai Van,1991-08-19,Nu,9000000,2019-09-06,2022-04-08,D015
E000210,Le Thuy Van,1991-07-22,Nu,9000000,2018-11-02,,D015
E000211,Pham Hoai Van,1986-04-24,Nu,9000000,2016-05-28,,D015
E000212,Pham Thuy Anh,1977-03-12,Nu,9000000,2019-08-06,,D015
E000213,Nguyen Khoa Van,1974-04-28,Nu,9000000,2018-07-18,2018-07-19,D015
E000214,Tran Thu Duc,1986-04-04,Nu,9000000,2021-12-21,,D015
E000215,Tran Hai Minh,1985-07-27,Nu,9000000,2019-03-22,2022-11-14,D015
E000216,Vu Dinh Thi,1993-04-19,Nam,9000000,2016-11-11,,D015
E000217,Bui Thu Duc,1972-07-12,Nu,9000000,2018-08-24,2020-11-07,D015
E000218,Le Thu Van,1975-07-17,Nu,9000000,2018-04-22,,D015
E000219,Pham Thu Thanh,1988-03-03,Nu,9000000,2020-05-11,,D015
E000220,Tran Thuy Anh,1982-12-09,Nu,9000000,2020-06-19,,D015
E000221,Tran Khoa Quang,1972-02-06,Nu,9000000,2016-03-14,2019-05-27,D015
E000222,Vu Khoa Minh,1979-07-25,Nu,9000000,2018-09-17,,D015
E000223,Dang Hoai Van,1980-11-03,Nam,9000000,2018-02-26,2019-01-25,D015
E000224,Hoang Hai Duc,1991-11-24,Nam,10000000,2020-11-13,2021-07-05,D016
E000225,Hoang Khoa Linh,1978-01-16,Nu,10000000,2019-09-15,,D016
E000226,Le Ngoc Van,1993-10-19,Nu,10000000,2016-04-02,2019-12-15,D016
E000227,Tran Hoai Anh,1984-02-15,Nu,10000000,2021-03-03,,D016
E000228,Dang Hai Thi,1992-02-09,Nu,10000000,2019-01-11,,D016
E000229,Hoang Thu Thi,1984-01-26,Nu,10000000,2022-06-23,2023-10-13,D016
E000230,Dang Hai Linh,1981-08-11,Nu,10000000,2016-10-23,,D016
E000231,Hoang Hai Quang,1998-05-04,Nu,10000000,2018-09-03,2022-12-14,D016
E000232,Le Thuy Linh,1989-09-20,Nam,10000000,2022-09-18,,D016
E000233,Nguyen Dinh Quang,1998-04-19,Nam,10000000,2018-12-28,2018-12-28,D016
E000234,Tran Hai Minh,1990-10-13,Nam,10000000,2019-01-23,2021-03-26,D016
E000235,Pham Thuy Minh,1986-04-23,Nu,10000000,2018-05-13,,D016
E000236,Bui Ngoc Minh,1990-08-20,Nam,10000000,2019-09-28,,D016
E000237,Hoang Ngoc Linh,1988-04-11,Nam,10000000,2019-11-15,,D016
E000238,Dang Dinh Quang,1976-04-24,Nu,10000000,2018-05-07,,D016
E000239,Vu Hai Thanh,1986-08-27,Nam,10000000,2020-12-06,,D016
E000240,Bui Ngoc Minh,1993-10-05,Nam,10000000,2020-05-08,2022-11-23,D016
E000241,Pham Huu Van,1997-09-11,Nu,10000000,2017-01-01,,D016
E000242,Bui Dinh Quang,1999-05-02,Nu,15000000,2019-09-13,,D017
E000243,Dang Dinh Linh,1970-09-06,Nu,20000000,2018-07-27,2023-06-02,D018
E000244,Pham Ngoc Anh,1970-03-14,Nam,20000000,2017-08-23,,D018
E000245,Vu Hai Thanh,1993-04-19,Nam,20000000,2020-06-13,2023-06-16,D018
E000246,Vu Huu Thi,1988-12-23,Nu,20000000,2019-02-28,,D018
E000247,Pham Thu Linh,1976-01-01,Nu,20000000,2016-07-13,,D018
E000248,Nguyen Ngoc Quang,1996-07-09,Nam,20000000,2020-08-20,2023-10-13,D018
E000249,Vu Khoa Van,1993-11-17,Nam,20000000,2022-03-14,,D018
E000250,Le Dinh Thanh,1972-09-09,Nam,20000000,2019-09-28,2023-10-10,D018
E000251,Nguyen Thu Van,1987-09-12,Nu,20000000,2015-12-02,2021-11-01,D018
E000252,Vu Huu Duc,1973-05-27,Nam,20000000,2017-03-26,,D018
E000253,Hoang Dinh Duc,1993-03-09,Nu,20000000,2017-09-28,,D018
E000254,Vu Hai Duc,1971-09-05,Nam,8000000,2015-02-26,,D019
E000255,Le Thuy Quang,1976-08-19,Nam,8000000,2015-10-28,2017-10-05,D019
E000256,Dang Hoai Minh,1970-09-23,Nam,8000000,2016-06-05,2023-07-23,D019
E000257,Pham Hai Quang,1971-05-23,Nam,8000000,2016-10-14,,D019
E000258,Dang Huu Anh,2000-07-13,Nu,8000000,2019-12-27,2019-12-28,D019
E000259,Hoang Thuy Anh,1981-10-19,Nam,8000000,2017-01-04,2022-01-01,D019
E000260,Hoang Thu Duc,2000-03-11,Nu,8000000,2017-01-19,,D019
E000261,Nguyen Huu Linh,1983-01-22,Nu,8000000,2022-03-27,,D019
E000262,Vu Dinh Minh,1976-03-03,Nu,8000000,2017-11-09,2020-10-22,D019
E000263,Dang Hoai Anh,1987-02-15,Nu,8000000,2015-06-16,,D019
E000264,Pham Khoa Duc,1973-02-28,Nam,8000000,2022-06-23,2023-04-06,D019
E000265,Dang Thuy Van,1989-10-11,Nam,8000000,2020-11-04,,D019
E000266,Vu Khoa Thi,1994-10-05,Nu,8000000,2019-10-17,,D019
E000267,Bui Thuy Linh,1986-08-24,Nam,8000000,2016-11-04,2017-04-06,D019
E000268,Dang Ngoc Anh,1975-10-15,Nam,8000000,2017-11-18,,D019
E000269,Le Huu Van,1994-08-08,Nam,17000000,2020-02-28,,D020
E000270,Bui Thu Thi,1981-05-13,Nam,17000000,2018-01-25,2019-12-13,D020
E000271,Dang Dinh Minh,1993-07-18,Nu,17000000,2016-03-06,,D020
E000272,Dang Dinh Van,1986-04-10,Nu,17000000,2018-10-24,,D020
E000273,Tran Ngoc Duc,1984-07-06,Nam,17000000,2018-02-24,2018-08-05,D020
E000274,Dang Thuy Thi,1971-02-15,Nam,17000000,2016-09-15,,D020
E000275,Bui Thu Van,1992-10-16,Nu,17000000,2020-11-07,2021-08-20,D020
E000276,Nguyen Thu Van,1991-10-18,Nu,17000000,2020-01-24,,D020
E000277,Pham Huu Thi,1984-12-01,Nu,17000000,2016-06-11,,D020
E000278,Tran Thu Anh,1974-11-02,Nu,17000000,2019-07-14,2019-07-15,D020
E000279,Pham Thu Linh,1978-01-05,Nu,17000000,2016-07-20,,D020
E000280,Pham Ngoc Linh,1985-12-27,Nam,17000000,2021-02-19,2022-12-01,D020
E000281,Tran Thuy Quang,1985-12-12,Nu,17000000,2015-08-02,2020-04-15,D020
E000282,Hoang Huu Thanh,1981-02-28,Nam,17000000,2021-06-18,,D020
E000283,Tran Thuy Van,1980-08-03,Nam,17000000,2016-06-13,2022-07-18,D020
E000284,Nguyen Thu Anh,1983-11-17,Nam,17000000,2019-01-15,2023-10-02,D020
E000285,Hoang Thu Minh,1973-10-06,Nu,17000000,2019-10-03,,D020
E000286,Vu Ngoc Linh,1982-12-14,Nu,17000000,2021-11-14,2021-11-15,D020
E000287,Hoang Khoa Thi,1996-02-23,Nu,11000000,2022-08-21,,D021
E000288,Bui Ngoc Anh,1990-04-16,Nam,11000000,2018-12-07,2019-07-26,D021
E000289,Tran Huu Quang,1976-05-25,Nu,11000000,2021-02-28,2021-03-17,D021
E000290,Nguyen Hoai Linh,1992-09-27,Nam,11000000,2016-08-21,2016-08-22,D021
E000291,Vu Hai Duc,1987-03-26,Nam,11000000,2017-09-21,,D021
E000292,Bui Thuy Anh,2000-10-07,Nu,11000000,2022-11-10,2023-05-03,D021
E000293,Bui Hai Quang,1986-12-22,Nam,11000000,2022-08-19,,D021
E000294,Tran Hai Van,1975-03-22,Nu,11000000,2016-12-23,2022-12-16,D021
E000295,Pham Thuy Duc,1974-12-28,Nam,11000000,2017-08-14,,D021
E000296,Le Ngoc Minh,1978-09-03,Nam,11000000,2015-02-08,2017-01-17,D021
E000297,Tran Thu Thanh,1980-04-12,Nu,11000000,2015-09-19,,D021
E000298,Pham Hoai Minh,1985-04-21,Nam,11000000,2016-02-18,,D021
E000299,Tran Ngoc Van,1992-12-17,Nu,11000000,2015-02-01,2019-02-21,D021
E000300,Bui Khoa Linh,1972-03-05,Nu,11000000,2016-05-06,2021-09-24,D021
E000301,Tran Hoai Van,1976-10-22,Nam,11000000,2020-04-19,2021-12-16,D021
E000302,Le Khoa Duc,1991-04-18,Nam,11000000,2020-06-14,,D021
E000303,Bui Khoa Linh,1980-08-27,Nu,11000000,2020-09-13,2022-02-26,D021
E000304,Tran Thuy Thi,1971-01-23,Nam,7000000,2016-11-24,,D022
E000305,Vu Dinh Anh,1974-11-10,Nam,7000000,2022-11-03,,D022
E000306,Dang Hoai Thanh,1984-07-12,Nu,7000000,2019-03-09,2022-08-13,D022
E000307,Pham Thu Linh,1996-07-09,Nam,7000000,2022-10-01,2022-10-02,D022
E000308,Tran Dinh Anh,1971-12-05,Nam,7000000,2022-12-16,,D022
E000309,Le Khoa Duc,1991-03-11,Nu,7000000,2019-05-06,,D022
E000310,Nguyen Khoa Quang,1987-12-07,Nu,7000000,2020-12-19,,D022
E000311,Pham Huu Van,1998-11-24,Nu,7000000,2018-06-18,,D022
E000312,Nguyen Hai Thi,1995-03-09,Nam,7000000,2020-10-14,2022-12-19,D022
E000313,Nguyen Thu Van,1996-07-26,Nam,7000000,2016-03-10,2019-01-14,D022
E000314,Hoang Thuy Minh,1999-01-23,Nam,7000000,2021-12-09,2021-12-10,D022
E000315,Dang Dinh Minh,1970-02-01,Nam,7000000,2020-01-04,,D022
E000316,Hoang Ngoc Thanh,1998-07-10,Nam,7000000,2020-08-05,,D022
E000317,Le Thu Duc,1971-06-13,Nam,7000000,2015-04-23,,D022
