EMPLOYEE_ID,FULL_NAME,DATE_OF_BIRTH,GENDER,SALARY,START_DATE_WORK,TERMINATION_DATE,DEPARTMENT_ID
E000066,Tú Dương,1980-02-02,Nữ,14207841,2023-11-15,,D083
E000067,Ông Hưng Phạm,1978-12-16,Nam,37843241,2015-11-01,,D094
E000068,Hoàng Hữu Vũ,1979-10-24,Nữ,35346307,2026-03-04,,D017
E000069,Bà Nhật Bùi,1999-09-13,Nữ,40000000,2023-03-01,,D084
E000070,Quý ông Thành Trần,1990-02-06,Nam,26288777,2021-09-14,,D051
E000071,Bà Dương Lê,2002-05-25,Nam,36093326,2025-08-08,,D037
E000072,Bà Lâm Hoàng,1981-04-20,Nữ,27970033,2013-06-16,,D072
E000073,Huy Nguyễn,2002-11-07,Nam,36093326,2025-06-21,,D037
E000074,Chị Nhật Phạm,1999-09-07,Nữ,24571598,2046-11-18,,D087
E000075,Ông Khoa Nguyễn,1979-10-06,Nam,12420804,2013-10-05,,D005
E000076,Dũng Hữu Hoàng,2001-05-17,Nữ,30842831,2050-08-18,,D033
E000077,Lâm Tấn Phạm,1981-10-09,Nam,40000000,2023-08-26,,D077
E000078,Bà Hạnh Nguyễn,1989-06-02,Nam,21560943,2025-02-02,2031-02-11,D086
E000079,Khoa Tấn Phạm,1991-05-07,Nam,38780953,2025-10-03,,D096
E000080,Hương Lê,1988-12-01,Nữ,24571598,2022-02-12,,D087
E000081,Quý cô Yến Bùi,1979-12-08,Nữ,24571598,2029-09-16,2032-12-01,D087
E000082,Bà Chi Lê,2003-02-10,Nam,40000000,2044-10-14,,D091
E000083,Hải Trần,1991-07-17,Nam,13237538,2014-11-09,2025-08-21,D093
E000084,Dũng Hoàng Bùi,1986-06-25,Nam,40000000,2005-12-19,2022-02-21,D014
E000085,Quang Đức Đặng,1994-02-19,Nữ,40000000,2039-12-15,,D084
E000086,Anh Thành Lê,2002-11-10,Nữ,37851000,2039-03-21,,D068
E000087,Quý ông Dũng Vũ,1996-05-02,Nữ,35346307,2028-07-23,,D017
E000088,Chị Lâm Hoàng,1983-03-07,Nữ,24545233,2004-01-19,,D100
E000089,Hạnh Mai,1994-09-11,Nam,34729139,2020-10-15,,D027
E000090,Khoa Hoàng Lê,1982-06-06,Nữ,40000000,2024-01-17,,D105
E000091,Huy Văn Lê,1981-02-10,Nữ,24720632,2020-02-09,2042-09-22,D058
E000092,Vũ Vũ,2000-07-28,Nữ,20950077,2021-06-03,2024-06-25,D022
E000093,Dũng Đặng,1979-12-19,Nữ,25383404,1999-12-20,,D002
E000094,Thành Hoàng,1994-05-11,Nam,26704750,2019-04-17,,D088
E000095,Cô An Hoàng,1995-12-06,Nữ,24545233,2040-08-12,2044-05-20,D100
E000096,Vi Bùi,1983-07-19,Nữ,23060627,2004-02-16,,D074
E000097,Bác Dũng Nguyễn,1996-11-05,Nữ,25383404,2036-03-26,,D002
E000098,Chị Hà Bùi,1983-10-11,Nữ,29776813,2023-07-25,,D043
E000099,Nhật Bùi,1982-12-01,Nữ,16128169,2025-08-12,,D044
E000100,Hà Quang Lê,1999-05-10,Nam,35648224,2027-05-22,2033-12-20,D090
E000101,Vũ Bảo Trần,1991-10-31,Nữ,36610231,2032-05-21,,D055
E000102,Thành Lê,1993-02-04,Nam,19262519,2031-08-16,,D006
E000103,Châu Hải Hoàng,1993-07-21,Nam,37888666,2026-07-22,,D095
E000104,Chị Hồng Nguyễn,1982-07-08,Nam,40000000,2012-06-08,,D091
E000105,Bà Lâm Bùi,1983-03-15,Nam,25383404,2025-06-13,,D002
E000106,Mai Đặng,2001-11-05,Nữ,40000000,2021-05-02,,D056
E000107,Hạnh Phú Lê,1998-09-24,Nữ,38188908,2031-03-18,,D011
E000108,Tùng Văn Lê,1981-10-04,Nữ,16211196,2006-07-16,,D015
E000109,Anh Phạm,2003-05-11,Nam,40000000,2041-08-19,,D007
E000110,Yến Hoàng,2004-06-27,Nam,32770388,2031-06-11,,D061
E000111,Bác Quang Vũ,1980-09-09,Nam,13237538,2002-07-24,,D093
E000112,Bà Ngọc Đặng,1986-02-09,Nam,18533053,2010-12-11,,D104
E000113,Bảo Đức Lê,2006-03-15,Nam,32983171,2036-04-13,,D019
E000114,Ánh Đặng,2002-09-02,Nữ,40000000,2036-07-01,,D049
E000115,Hạnh Dương,1998-01-15,Nữ,19300443,2021-11-19,,D052
E000116,Bác Dũng Nguyễn,1992-01-05,Nam,25432136,2037-01-11,,D004
E000117,Hưng Trí Vũ,1981-06-07,Nam,34314346,2027-12-19,2034-09-06,D053
E000118,Bà Thành Dương,2003-02-19,Nữ,29469380,2025-11-26,,D103
E000119,Thành Xuân Mai,1987-07-12,Nam,13850282,2025-03-20,,D067
E000120,Cô Bảo Hoàng,1984-02-11,Nữ,25098491,2011-10-04,,D092
E000121,Mai Nguyễn,2004-12-07,Nữ,25312896,2027-04-03,,D032
E000122,Xuân Lê,1998-01-19,Nam,37888666,2026-11-16,2032-05-22,D095
E000123,Minh Mai Lê,1992-01-15,Nam,38590951,2031-08-19,,D023
E000124,Minh Nguyễn,1987-11-24,Nữ,28728286,2011-06-28,,D079
E000125,Bảo Thế Phạm,1990-04-26,Nữ,29776813,2031-01-16,,D043
E000126,Ông Huy Mai,1988-10-30,Nam,28728286,2019-05-10,,D079
E000127,Quang Hoàng Nguyễn,1998-11-25,Nữ,16522869,2029-10-28,,D036
E000128,Khoa Đặng,1999-07-14,Nữ,29776813,2043-01-03,2060-04-10,D043
E000129,Anh Đức Nguyễn,1987-07-12,Nam,26406215,2034-07-28,2040-11-20,D054
E000130,Anh Phú Hoàng,1991-12-08,Nam,31817866,2021-04-27,2024-07-06,D003
E000131,Mai Mai,1989-05-16,Nam,10752667,2037-10-20,,D024
E000132,Cô Thành Nguyễn,1994-10-29,Nữ,20621383,2020-12-02,,D081
E000133,Linh Vũ,1990-09-27,Nam,28603236,2010-07-15,,D065
E000134,Bà Dương Trần,1995-10-24,Nam,34587418,2040-06-17,,D010
E000135,Quý cô Hạnh Lê,1992-01-11,Nam,33351309,2032-07-12,,D046
E000136,Chị Lan Đặng,2001-02-13,Nữ,38188908,2048-01-27,,D011
E000137,Quý cô Mai Dương,1983-08-14,Nam,31307318,2020-02-17,,D009
E000138,Thành Trần,1989-10-25,Nữ,24631859,2008-03-28,,D008
E000139,Quang Xuân Dương,2004-07-20,Nữ,35648224,2036-09-25,2052-07-02,D090
E000140,Chị Ngọc Lê,1988-02-19,Nữ,25312896,2022-11-19,,D032
E000141,Hà Tấn Lê,2004-02-10,Nam,19300443,2029-04-02,2036-02-22,D052
E000142,Bà Duyên Lê,1980-02-25,Nam,21797736,2015-06-02,,D060
E000143,Khoa Vũ,1983-12-08,Nam,40000000,2013-12-22,,D049
E000144,Mai Đặng,2000-09-29,Nam,19497965,2048-07-24,,D048
E000145,Ông Bảo Nguyễn,1979-04-23,Nữ,34587418,2019-07-20,,D010
E000146,Ông Anh Mai,1981-08-13,Nam,40000000,2013-03-28,2034-03-12,D007
E000147,Minh Thế Nguyễn,1999-04-02,Nữ,33628164,2026-03-08,,D073
E000148,Chị Hải Vũ,1988-08-20,Nữ,38780953,2008-12-12,2020-02-25,D096
E000149,Cô Vân Đặng,1984-10-30,Nữ,38780953,2034-07-22,,D096
E000150,Huy Mai Bảo Lê,1995-07-28,Nam,23060627,2020-06-19,,D074
E000151,Châu Nguyễn,1981-04-07,Nam,40000000,2005-03-22,,D098
E000152,Yến Phạm,1984-08-24,Nữ,18533053,2009-03-26,,D104
E000153,Bảo Mai,2004-01-06,Nam,14552387,2032-02-13,,D059
E000154,Hương Phạm,1995-09-04,Nữ,27723417,2043-02-01,2043-06-27,D001
E000155,Bảo Trí Lê,1989-07-23,Nam,25432136,2013-08-28,,D004
E000156,Phương Xuân Trần,1985-06-23,Nam,25383404,2011-10-17,,D002
E000157,Bà Thảo Vũ,1988-11-08,Nữ,40000000,2017-08-05,,D091
E000158,Khoa Phú Bùi,1983-11-07,Nữ,38590951,2024-07-02,2029-07-05,D023
E000159,Cô Thảo Nguyễn,1982-11-30,Nam,37851000,2013-01-31,,D068
E000160,Quang Bùi,1985-09-01,Nữ,25681902,2023-08-04,,D039
E000161,Bác Huy Nguyễn,1988-01-29,Nữ,40000000,2026-09-23,2036-09-14,D084
E000162,Châu Vũ,1998-09-23,Nữ,40000000,2017-03-27,,D035
E000163,Chị Lâm Nguyễn,1988-08-13,Nữ,24631859,2010-11-27,,D008
E000164,Chị Thành Lê,1990-06-11,Nữ,14552387,2030-03-06,,D059
E000165,Bác Thành Dương,1998-08-29,Nam,27723417,2036-06-20,,D001
E000166,Quý cô Bảo Trần,1980-03-18,Nữ,17187826,2002-09-11,,D029
E000167,Lâm Dương,2004-02-21,Nữ,20950077,2035-09-19,,D022
E000168,Tú Mai Trần,1990-03-07,Nữ,13237538,2032-05-23,,D093
E000169,Quý cô Mai Nguyễn,2003-09-27,Nam,10563918,2039-09-03,,D012
E000170,Hoàng Thị Vũ,1979-06-29,Nữ,36610231,2013-09-30,,D055
E000171,Duyên Phạm,1993-04-06,Nam,40000000,2012-03-10,,D077
E000172,Khoa Thị Trần,2000-07-09,Nữ,23060627,2038-01-18,2041-10-21,D074
E000173,Huy Phạm,2002-02-26,Nam,35648224,2024-01-06,,D090
E000174,Vũ Trí Phạm,2002-02-26,Nam,28603236,2032-07-23,2038-01-18,D065
E000175,Anh Hữu Hoàng,1982-08-14,Nữ,32770388,2031-08-09,,D061
E000176,Dương Dương,1999-10-11,Nam,30987661,2018-05-05,,D066
E000177,Yến Hoàng,2000-12-26,Nữ,21797736,2041-06-22,,D060
E000178,Phúc Xuân Hoàng,1994-04-10,Nữ,26598909,2014-04-22,,D034
E000179,Minh Mai Bảo Vũ,1995-02-11,Nam,26704750,2013-11-26,,D088
E000180,Bác Quang Hoàng,2003-05-14,Nam,38590951,2026-09-22,,D023
E000181,Chị Lâm Mai,2000-12-05,Nam,30987661,2048-10-30,,D066
E000182,Chị Hồng Mai,1989-10-28,Nam,40000000,2038-03-28,,D077
E000183,Cô Bảo Lê,1981-01-03,Nữ,29469380,2004-05-14,,D103
E000184,Bà Linh Phạm,1984-02-23,Nữ,40000000,2009-06-07,2036-04-17,D091
E000185,Hồng Mai,2000-09-25,Nam,28387010,2030-12-02,,D025
E000186,Nhiên Hoàng Bùi,1982-02-12,Nam,37851000,2030-08-06,,D068
E000187,Hoàng Văn Phạm,1981-03-19,Nam,33351309,2013-06-22,2018-11-09,D046
E000188,Vân Phạm,1992-03-20,Nam,14552387,2038-06-28,,D059
E000189,Trọng Hữu Mai,2004-01-14,Nữ,28080468,2023-02-26,,D069
E000190,Vân Hoàng,1988-07-03,Nữ,40000000,2015-01-25,,D049
E000191,Kim Thế Nguyễn,1994-11-01,Nam,10269551,2022-12-07,,D030
E000192,Phương Dương,1993-10-28,Nam,17164876,2013-08-24,,D076
E000193,Bà Lâm Mai,1993-10-23,Nữ,40000000,2022-05-07,,D049
E000194,Nhật Đặng,2002-11-22,Nam,13237538,2023-01-17,,D093
E000195,Quý cô Lâm Dương,1981-12-07,Nữ,29469380,2020-01-25,2042-02-26,D103
E000196,Cô Hạnh Trần,1983-12-16,Nữ,37851000,2005-03-26,,D068
E000197,Quý cô Ánh Lê,1981-08-17,Nam,40000000,2029-01-15,,D042
E000198,Trọng Thế Hoàng,1998-06-25,Nữ,11416012,2019-01-24,,D041
E000199,Minh Tấn Đặng,1997-09-24,Nữ,19422604,2045-01-18,,D064
E000200,Nhật Mai Bảo Vũ,2002-09-04,Nam,26406215,2037-02-20,,D054
E000201,Tú Hoàng Nguyễn,1998-01-16,Nam,40000000,2040-01-03,,D091
E000202,Thành Trí Hoàng,2005-04-28,Nữ,36093326,2036-11-21,,D037
E000203,Quang Nguyễn,2002-01-22,Nam,12420804,2041-03-10,,D005
E000204,Tú Bùi,1983-11-13,Nữ,34587418,2028-05-28,2029-10-09,D010
E000205,Khoa Vũ,1980-05-01,Nam,24728104,1999-03-20,,D062
E000206,Xuân Bùi,2003-04-21,Nữ,10879417,2042-01-23,,D078
E000207,Thành Hữu Trần,1988-10-02,Nam,34969054,2021-02-25,,D050
E000208,Vi Trần,1990-07-10,Nữ,19422604,2031-06-24,,D064
E000209,Mai Hoàng,1996-12-30,Nam,40000000,2020-05-22,,D084
E000210,Duyên Đặng,1986-04-13,Nữ,28387010,2029-07-05,,D025
E000211,Vũ Lê,2001-03-21,Nữ,33628164,2050-03-27,2065-03-25,D073
E000212,Ông Trung Vũ,1983-02-24,Nam,19300443,2013-12-10,,D052
E000213,Quý cô Lâm Dương,1994-07-20,Nữ,13850282,2015-07-06,,D067
E000214,Minh Đặng,1979-11-14,Nam,25098491,2026-05-09,,D092
E000215,Quý cô Xuân Mai,2005-01-20,Nữ,26406215,2036-09-24,,D054
E000216,Thảo Dương,1982-09-04,Nữ,13237538,2025-04-21,,D093
E000217,Quý cô Ngọc Bùi,1996-01-09,Nam,40000000,2015-09-12,,D028
E000218,Hà Trần,2000-08-10,Nam,38188908,2025-04-22,,D011
E000219,Quý ông Quang Nguyễn,1997-09-02,Nam,32813640,2036-11-09,,D057
E000220,Quang Trí Đặng,2000-07-25,Nữ,30842831,2033-02-14,,D033
E000221,Bà Thảo Bùi,1981-11-02,Nam,26910628,2009-12-28,2029-12-09,D085
E000222,Dũng Nguyễn,1987-05-16,Nam,20950077,2010-07-25,,D022
E000223,Vũ Vũ,1979-11-01,Nam,25383404,2008-01-13,,D002
E000224,Bác Phúc Phạm,1981-06-21,Nữ,25852248,2016-07-03,,D026
E000225,Dương Đặng,1987-02-07,Nam,40000000,2006-11-25,,D042
E000226,Ông Tùng Trần,1982-03-18,Nam,29776813,2023-08-20,2041-09-27,D043
E000227,Bà Ngọc Trần,2001-02-06,Nữ,13237538,2037-06-30,,D093
E000228,Quý cô Lan Lê,1983-03-29,Nam,24720632,2019-06-23,2041-06-28,D058
E000229,Bác Vũ Bùi,1981-12-22,Nam,20950077,2020-06-12,,D022
E000230,Vân Nguyễn,2004-04-29,Nam,34729139,2032-10-20,,D027
E000231,Hạnh Phạm,1997-06-29,Nữ,28080468,2039-06-23,2061-10-30,D069
E000232,Anh Châu Trần,2004-02-12,Nữ,38188908,2030-05-03,2036-06-16,D011
E000233,Chi Trần,1984-12-04,Nữ,27488130,2011-02-10,,D031
E000234,Anh Thành Trần,1995-06-12,Nữ,36093326,2034-02-20,,D037
E000235,Quý ông Vũ Lê,1980-10-28,Nam,28603236,2017-12-13,,D065
E000236,Chị Khoa Bùi,1988-10-25,Nam,28387010,2020-03-03,,D025
E000237,Quý cô An Bùi,1987-12-17,Nữ,27723417,2032-08-22,,D001
E000238,Quý cô Ánh Mai,2003-01-17,Nam,40000000,2044-02-24,,D070
E000239,Bác Trọng Vũ,2001-06-26,Nam,26064367,2026-02-09,,D040
E000240,Lan Hoàng,1985-07-30,Nam,34587418,2019-04-08,,D010
E000241,Quý cô Vi Phạm,1999-01-19,Nữ,21797736,2023-10-04,,D060
E000242,Hà Hoàng,2003-07-14,Nam,40000000,2022-05-05,,D056
E000243,Chị Nhật Mai,2006-07-28,Nam,20621383,2040-06-17,,D081
E000244,Hoàng Văn Bùi,1990-07-13,Nữ,35648224,2009-12-12,,D090
E000245,Khoa Văn Dương,1984-11-13,Nam,24728104,2029-11-13,2032-07-04,D062
E000246,Bà Mai Nguyễn,1985-05-12,Nam,25098491,2029-02-18,2054-07-03,D092
E000247,Bà Hà Nguyễn,1995-10-19,Nữ,29776813,2041-12-12,,D043
E000248,Hải Phú Hoàng,2002-11-08,Nữ,34729139,2025-07-05,,D027
E000249,Bảo Nguyễn,2001-07-29,Nam,27488130,2022-12-20,,D031
E000250,Quý ông Quang Đặng,2004-05-10,Nữ,12462132,2032-05-05,,D038
E000251,Quý ông Nam Dương,1987-04-01,Nam,24720632,2011-07-24,2026-05-22,D058
E000252,Bác Vũ Bùi,1994-06-15,Nữ,40000000,2043-09-02,,D014
E000253,Quang Đặng,1988-07-18,Nữ,12420804,2013-07-21,,D005
E000254,Xuân Bùi,1999-05-16,Nam,27488130,2031-06-13,,D031
E000255,Nhiên Lê,1996-10-30,Nam,14268244,2042-03-03,,D089
E000256,Quang Quang Đặng,1984-02-12,Nam,19422604,2032-04-16,,D064
E000257,Ánh Phạm,2001-07-16,Nam,36610231,2020-02-29,,D055
E000258,An Hoàng,2004-01-15,Nữ,30842831,2046-02-06,,D033
E000259,An Bùi,1984-07-25,Nam,32770388,2028-11-14,,D061
E000260,Quý cô An Dương,2005-05-01,Nữ,31817866,2038-04-24,,D003
E000261,Chị Xuân Lê,2001-02-07,Nam,37888666,2025-03-05,,D095
E000262,Khoa Phú Lê,2001-05-03,Nam,12420804,2026-10-03,2048-12-19,D005
E000263,Bà Lan Vũ,1992-01-24,Nam,31817866,2021-02-18,2025-06-19,D003
E000264,Ông Khoa Trần,1986-09-23,Nữ,12420804,2008-05-18,,D005
E000265,Tú Hoàng Mai,1979-07-04,Nam,16128169,2020-02-06,,D044
E000266,Thành Hữu Lê,1999-08-02,Nữ,40000000,2049-07-08,,D021
E000267,Hưng Phạm,1984-10-26,Nam,37082399,2021-10-23,2022-08-08,D099
E000268,Kim Đặng,2004-07-06,Nữ,19497965,2033-10-11,2059-10-16,D048
E000269,Bảo Đức Lê,1987-08-30,Nam,28603236,2030-05-04,,D065
E000270,Bảo Quang Trần,1993-02-23,Nữ,40000000,2035-01-08,,D007
E000271,Huy Bùi,2003-08-09,Nữ,21560943,2025-06-01,,D086
E000272,Bảo Nguyễn,1988-05-12,Nam,25852248,2029-07-21,,D026
E000273,Anh Xuân Trần,2005-10-12,Nam,40000000,2049-04-20,,D042
E000274,Anh Nam Bùi,1990-08-08,Nữ,19300443,2033-11-18,,D052
E000275,Hưng Đức Hoàng,1999-08-09,Nam,40000000,2046-08-21,,D063
E000276,Bà Thành Lê,2004-07-24,Nam,18533053,2046-03-08,,D104
E000277,Hải Xuân Trần,1985-02-18,Nam,17164876,2020-08-11,,D076
E000278,Dũng Nguyễn,2000-03-06,Nam,40000000,2028-10-29,,D063
E000279,Anh Huy Dương,2004-07-31,Nữ,24571598,2042-09-14,,D087
E000280,Cô Linh Mai,1996-10-24,Nam,34969054,2019-12-01,,D050
E000281,Khoa Mai Bảo Trần,1981-09-01,Nam,25852248,2018-02-22,,D026
E000282,Quý cô Khoa Bùi,1987-12-08,Nữ,34729139,2020-10-06,,D027
E000283,Quang Tấn Lê,1985-04-06,Nữ,13850282,2012-02-21,2030-02-11,D067
E000284,Ông Nhiên Nguyễn,1996-09-12,Nam,34729139,2022-06-02,,D027
E000285,Vi Mai,1978-12-14,Nam,28080468,2017-11-17,,D069
E000286,Yến Phạm,1995-12-12,Nam,13237538,2019-05-11,2039-01-09,D093
E000287,Thành Mai,1999-12-25,Nữ,32983171,2044-03-04,,D019
E000288,Bác Nam Trần,2000-05-02,Nam,28080468,2047-04-19,,D069
E000289,Quý ông Quang Nguyễn,1996-04-01,Nam,24571598,2031-03-03,,D087
E000290,Nhật Văn Lê,1980-10-19,Nam,37423987,2021-10-05,,D018
E000291,Bà Vi Hoàng,1994-05-31,Nam,38780953,2025-03-30,2037-11-02,D096
E000292,Chị Bảo Phạm,2004-12-24,Nữ,37082399,2023-03-01,,D099
E000293,Phương Đặng,2006-11-21,Nữ,24571598,2034-01-01,,D087
E000294,Ông Tú Đặng,1984-09-24,Nam,26704750,2030-10-17,,D088
E000295,Nhật Bảo Hoàng,1997-10-17,Nam,40000000,2018-09-30,2040-12-24,D035
E000296,Bác Anh Đặng,1995-09-22,Nữ,38590951,2020-12-13,,D023
E000297,Bảo Phạm,1993-07-21,Nữ,38590951,2029-06-19,,D023
E000298,Phương Trí Lê,1995-05-26,Nam,16522869,2040-03-12,,D036
E000299,Nam Lê,2002-07-09,Nam,32770388,2045-05-18,,D061
E000300,Tú Hữu Bùi,1994-02-13,Nam,30842831,2040-04-16,,D033
E000301,Bà Hồng Bùi,1994-04-17,Nam,10752667,2013-11-05,,D024
E000302,Bà Ngọc Bùi,2002-07-27,Nam,30125312,2024-09-30,2046-12-19,D082
E000303,Nhật Vũ,1987-01-25,Nam,21797736,2008-09-07,,D060
E000304,Chị Duyên Bùi,2006-12-01,Nữ,40000000,2046-04-01,2048-05-19,D098
E000305,Bà Mai Bùi,2001-12-28,Nam,26704750,2026-03-11,2037-02-11,D088
E000306,Tùng Hoàng Hoàng,1999-05-20,Nam,14268244,2021-12-21,,D089
E000307,Quang Thị Mai,1998-01-08,Nam,37082399,2028-06-03,2030-09-27,D099
E000308,Nhật Xuân Hoàng,1991-11-29,Nữ,30125312,2024-12-08,,D082
E000309,Bà Mai Nguyễn,1993-03-16,Nam,37082399,2019-06-02,,D099
E000310,Quý cô Vân Đặng,1990-05-14,Nữ,34314346,2022-10-06,2025-11-10,D053
E000311,Linh Nguyễn,1988-09-06,Nữ,10563918,2017-03-22,,D012
E000312,Hồng Phạm,1997-08-14,Nữ,37888666,2032-10-13,,D095
E000313,Bảo Quang Phạm,2001-04-09,Nữ,16128169,2037-09-26,,D044
E000314,Yến Phạm,2004-03-30,Nam,10269551,2032-05-10,,D030
E000315,Hoàng Phú Trần,1983-04-25,Nam,13850282,2015-10-28,,D067
E000316,Hồng Mai,1998-08-02,Nam,30842831,2036-07-09,,D033
E000317,Quý ông Quang Nguyễn,1986-07-01,Nữ,33628164,2025-12-24,,D073
E000318,Chi Lê,1984-08-16,Nam,28603236,2016-01-22,,D065
E000319,Bảo Lê,1990-03-23,Nam,31183332,2023-12-11,2039-09-26,D075
E000320,Ông Vũ Bùi,1996-08-01,Nam,24631859,2022-07-22,,D008
E000321,Bà Xuân Bùi,1994-04-17,Nữ,26064367,2015-01-31,,D040
E000322,Cô Thảo Hoàng,1990-06-11,Nữ,26406215,2019-07-02,,D054
E000323,Bà Ngọc Vũ,1997-01-20,Nam,40000000,2026-04-17,,D098
E000324,Minh Dương,1980-12-23,Nữ,40000000,2024-04-13,2045-02-14,D007
E000325,Hạnh Hữu Bùi,1998-07-14,Nữ,12420804,2018-08-18,,D005
